Date,Prize,From,Notes
20210118,基礎科学特別研究員 成果報告会 優秀賞,理化学研究所,
20200325,桜舞賞,理化学研究所,若手奨励賞
20190401,基礎科学特別研究員 採用,理化学研究所,
20181019,SPD面接に招待,日本学術振興会（JSPS),理研基礎特研となるため、面接辞退
20180321,工学系研究科長賞,東京大学, 専攻内で最優秀賞
20180307,MERIT賞,東京大学リーディング大学院MERIT,学年40人から優秀者4人
20150401,DC1 採用,日本学術振興会（JSPS),
20131021,CSJ化学フェスタ ポスター賞,日本化学会,
