Authors,Title,Journal,Year,Volume,Page
大岡 英史 and 山口 晃 and 橋本 和仁 and 中村龍平,水分解触媒のための元素戦略 ,化学工業：特集 人工光合成研究と最新技術,2014,65,183--188
中村 龍平 and 李 愛龍 and 大岡 英史 and 韓 洪宪,水を電気分解し続けるマンガン触媒の動作条件を発見 : 希少元素に依存しない水素製造へ期待,Japan Energy and Technology Intelligence：特集 触媒技術と製品展開,2019,67,46--48
