Date,Title,Where,Notes
20240801,無機化学特論3（14コマの集中講義）,明治大学,
20240422,Introductory Lectures on Reaction Kinetics and Chemical Reaction Network Theory,東工大ELSI,全13コマ中2コマ担当
20220401,研修生（慶応大）の研究指導,理研,
20250731,無機化学特論3（14コマの集中講義）,明治大学,
20240417,Introductory Lectures on Reaction Kinetics and Chemical Reaction Network Theory,科学大ELSI,全13コマ中2コマ担当
