Date,Status,Authors,Title,ID,Status_JP,Authors_JP,Title_JP
20170814,Public,Kazuhito Hashimoto and Ryuhei Nakamura and Hideshi Ooka and Iwao Ueda and Hitoshi Matsuda,Method for concentrating microalga culture fluid and apparatus therefor,WO2014136574A1,登録済み,橋本和仁 and 中村龍平 and 大岡英史 and 上田巌 and 松田整,微細藻類培養液の濃縮方法および装置
20190809,Public,Ryuhei Nakamura and Hideshi Ooka and Bonnet Nadege and Ailong Li and Shuang Kong and Hongxian Han,"Water electrolysis method and equipment, and method for determining the driving potential of water electrolysis",JPWO2020032256A1,登録済み,中村龍平 and 大岡英史 and Bonnet Nadege and Li Ailong and Kong Shuang and Han Hongxian,水電気分解法及び装置、並びに水電気分解の駆動電位の決定方法
