Title,Author,Journal,Year,Volume,Pages,URL,Type,Date,doi,Notes
触媒開発に向けた理論開拓,大岡英史,,2022,0,,http://www.canapple.com/doc/newsletter/news_238.pdf,Article,20220722,,
実験・数理・機械学習の融合による触媒理論の開拓,大岡英史,,2021,0,,https://www.chem-station.com/blog/2021/07/mla.html,Interview,20210715,,
水分解触媒のための元素戦略,大岡英史 and 山口晃 and 橋本和仁 and 中村龍平,化学工業 特集/人工光合成研究と最新技術,2014,65,15--20,,Review,20140000,,
