Date,Title,Where,Notes
20240801,Applied Inorganic Chemistry (14 Lectures over 4 days),Meiji Univ.
20240422,Introductory Lectures on Reaction Kinetics and Chemical Reaction Network Theory,Tokyo Inst. Technol. ELSI,2 Lectures out of 13 in the semester
20220401,Research Training of a student from Keio Univ.,RIKEN,
