Authors,Title,Journal,Year,Volume,Page
Hideshi Ooka and Akira Yamaguchi and Kazuhito Hashimoto and Ryuhei Nakamura,Element Strategy for Water Splitting Catalysts,Kagaku Kogyo: Speciall Issue on Artificial Photosynthesis Research and Technology,2014,65,183--188
Ryuhei Nakamura and Ailong Li and Hideshi Ooka and Hongxian Han,Identifying the Operation Conditions for Manganese Catalysts Which Can Continue to Split Water: Expectations towards Noble-Metal Free Hydrogen Production,Japan Energy and Technology Intelligence: Special Issue on Catalysis and Production,2019,67,46--48
